Fire Year,District,Unit,Fire Number,Fire Name,Legal,Latitude,Longitude,Fuel Model,County,Report Date,General Cause,ODF_Acres,Total_Acres
2021,58 - North Cascade,Santiam,36,Ike mooney patch,T7S R1W S1 NWNE,"44°  59'  46.4""","-122°  45'  9.2""",A,Marion,9/4/21 15:45,Miscellaneous,0.01,0.01
2021,58 - North Cascade,Santiam,37,Neal Pit,T10S R1E S23 NWSE,"44°  41'  2""","-122°  38'  51.5""",X,Linn,9/8/21 11:30,Debris Burning,0.01,0.01
2021,58 - North Cascade,Molalla,38,Benson Burn,T1N R5E S12 SESE,"45°  34'  43.3""","-122°  7'  30.1""",A,Multnomah,9/16/21 22:00,Miscellaneous,1.75,1.75
2021,58 - North Cascade,Santiam,38,Crooked Finger Campfire,T7S R2E S35 NWNW,"44°  55'  27.25""","-122°  32'  26.5""",L,Marion,9/8/21 17:22,Recreationist,0.01,0.01
2021,58 - North Cascade,Santiam,39,Winter Hill,T7S R1E S35 SWSE,"44°  54'  41.2""","-122°  38'  54.8""",X,Marion,9/14/21 14:06,Debris Burning,0.25,0.25
2021,58 - North Cascade,Santiam,41,Fox Valley,T9S R2E S21 SESW,"44°  45'  57""","-122°  34'  24""",F,Linn,9/16/21 10:45,Miscellaneous,1.25,1.25
2021,58 - North Cascade,Santiam,41,Pack Saddle MP 35,T9S R4E S30 SWNW,"44°  55'  33""","-122°  22'  24.8""",I,Marion,6/28/21 9:30,Debris Burning,0.01,0.01
2021,58 - North Cascade,Santiam,42,Streaker Pile,T9S R3E S27 SESE,"44°  45'  9.1""","-122°  25'  5.7""",J,Linn,6/28/21 10:03,Debris Burning,0.01,0.01
2021,58 - North Cascade,Santiam,43,Abiqua Trash,T7S R1E S11 NENE,"44°  58'  52.7""","-122°  39'  2.8""",X,Marion,9/19/21 16:19,Debris Burning,0.1,0.1
2021,58 - North Cascade,Molalla,44,Benson Burn 2,T1N R5E S12 SESE,"45°  34'  43.3""","-122°  7'  30.1""",A,Multnomah,9/18/21 21:30,Miscellaneous,1.75,1.75
2021,58 - North Cascade,Santiam,48,CF 330,T7S R2E S27 SWNE,"44°  55'  56.5""","-122°  32'  54.2""",X,Marion,9/28/21 16:45,Recreationist,0.01,0.01
2021,58 - North Cascade,Molalla,56,81047,T6S R3E S18 NWSW,"45°  3'  8.8""","-122°  29'  18""",G,Clackamas,1/29/21 20:55,Under Invest,0.02,0.02
2021,58 - North Cascade,Molalla,57,Ona Barrell,T5S R2E S18 NENE,"45°  8'  28.5""","-122°  35'  58.8""",F,Clackamas,9/23/21 13:55,Debris Burning,3.5,3.5
2021,58 - North Cascade,Molalla,58,142 Spur,T5S R4E S27 NWSE,"45°  6'  34.4""","-122°  18'  37.2""",K,Clackamas,4/20/21 4:23,Smoking,0.75,0.75
2021,58 - North Cascade,Molalla,59,Dickey Pile,T6S R3E S7 NENE,"45°  3'  58""","-122°  28'  52.3""",I,Clackamas,5/19/21 16:10,Debris Burning,1,1
2021,58 - North Cascade,Molalla,60,Beaver Barrel,T4S R2E S36 SESE,"45°  10'  41.1""","-122°  30'  29.2""",A,Clackamas,9/24/21 8:07,Debris Burning,0.01,0.01
2021,58 - North Cascade,Molalla,62,213 Brush,T4S R2E S32 NWSE,"45°  10'  33.1""","-122°  35'  36""",A,Clackamas,9/24/21 17:59,Miscellaneous,0.1,0.1
2021,58 - North Cascade,Molalla,63,5 Pile Fire,T7S R2E S12 SWSW,"44°  58'  15""","-122°  31'  6.5""",I,Clackamas,6/24/21 19:01,Debris Burning,0.5,0.5
2021,58 - North Cascade,Molalla,64,CJ Pile,T4S R9E S6 SENE,"45°  15'  3.6""","-121°  42'  30.4""",J,Clackamas,6/27/21 17:22,Debris Burning,0.01,0.01
2021,58 - North Cascade,Molalla,64,Warrick Slash,T5S R2E S17 NWSE,"45°  8'  3.5""","-122°  35'  7.1""",K,Clackamas,9/25/21 13:20,Debris Burning,0.01,0.01
2021,58 - North Cascade,Molalla,65,Herman Brush,T5S R2E S22 SESW,"45°  6'  51.6""","-122°  33'  2.7""",A,Clackamas,9/25/21 16:46,Under Invest,1.5,1.5
2021,58 - North Cascade,Molalla,65,Omalley Pile,T2S R4E S1 NESE,"45°  25'  17.8""","-122°  15'  7.4""",F,Clackamas,6/28/21 10:56,Debris Burning,0.25,0.25
