STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT05,WT06,,
USC00350265,"ARLINGTON, OR US",9/15/21,,,0,0,0,84,54,66,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/14/21,,,0,0,0,80,50,54,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/13/21,,,0,0,0,83,55,58,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/12/21,,,0,0,0,79,54,61,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/11/21,,,0.18,0,0,69,57,61,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/10/21,,,0.05,0,0,84,68,69,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/9/21,,,0,0,0,90,60,68,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/8/21,,,0,0,0,89,61,72,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/7/21,,,0,0,0,90,56,61,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/6/21,,,0,0,0,89,68,68,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/5/21,,,0,0,0,90,59,72,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/4/21,,,0,0,0,84,53,59,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/3/21,,,0,0,0,83,49,54,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/2/21,,,0,0,0,77,49,54,,,,,,,,
USC00350265,"ARLINGTON, OR US",9/1/21,,,0,0,0,77,45,62,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/31/21,,,0,0,0,75,58,60,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/30/21,,,0,0,0,90,64,66,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/29/21,,,0,0,0,86,53,65,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/28/21,,,0,0,0,80,53,61,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/27/21,,,0,0,0,81,64,66,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/26/21,,,0,0,0,87,53,69,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/25/21,,,0,0,0,83,52,53,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/24/21,,,0,0,0,78,47,56,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/23/21,,,0,0,0,76,52,59,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/22/21,,,0,0,0,79,62,67,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/21/21,,,0,0,0,76,64,65,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/20/21,,,0,0,0,85,63,66,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/19/21,,,0,0,0,86,64,65,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/18/21,,,0,0,0,75,63,73,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/17/21,,,0,0,0,96,61,63,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/16/21,,,0,0,0,101,73,79,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/15/21,,,0,0,0,101,72,79,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/14/21,,,0,0,0,100,70,73,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/13/21,,,0,0,0,102,67,71,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/12/21,,,0,0,0,99,70,72,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/11/21,,,0,0,0,93,68,74,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/10/21,,,0,0,0,88,62,72,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/9/21,,,0,0,0,79,55,64,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/8/21,,,0,0,0,88,61,65,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/7/21,,,0,0,0,85,69,72,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/6/21,,,0,0,0,89,70,73,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/5/21,,,0,0,0,96,73,74,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/4/21,,,0,0,0,103,73,74,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/3/21,,,0,0,0,98,68,79,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/2/21,,,0,0,0,95,72,75,,,,,,,,
USC00350265,"ARLINGTON, OR US",8/1/21,,,0.02,0,0,93,76,78,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/31/21,,,0,0,0,107,79,82,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/30/21,,,0,0,0,99,74,80,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/29/21,,,0,0,0,97,64,78,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/28/21,,,0,0,0,87,64,76,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/27/21,,,0,0,0,91,75,76,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/26/21,,,0,0,0,98,70,75,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/25/21,,,0,0,0,97,66,78,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/24/21,,,0,0,0,93,63,66,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/23/21,,,0,0,0,89,62,68,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/22/21,,,0,0,0,82,59,62,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/21/21,,,0,0,0,90,65,66,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/20/21,,,0,0,0,93,69,72,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/19/21,,,0,0,0,95,71,75,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/18/21,,,0,0,0,91,66,71,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/17/21,,,0,0,0,85,65,69,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/16/21,,,0,0,0,88,65,70,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/15/21,,,0,0,0,99,68,72,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/14/21,,,0,0,0,99,71,76,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/13/21,,,0,0,0,96,71,77,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/12/21,,,0,0,0,96,69,75,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/11/21,,,0,0,0,97,70,75,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/10/21,,,0,0,0,93,68,78,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/9/21,,,0,0,0,92,65,70,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/8/21,,,0,0,0,86,64,68,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/7/21,,,0,0,0,100,73,73,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/6/21,,,0,0,0,97,70,73,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/5/21,,,0,0,0,94,70,74,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/4/21,,,0,0,0,96,71,74,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/3/21,,,0,0,0,93,69,73,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/2/21,,,0,0,0,91,65,72,,,,,,,,
USC00350265,"ARLINGTON, OR US",7/1/21,,,0,0,0,100,71,71,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/30/21,,,0,,,117,78,80,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/29/21,,,0,,,113,75,79,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/28/21,,,0,,,110,73,80,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/27/21,,,0,,,106,70,75,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/26/21,,,0,,,100,70,70,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/25/21,,,0,,,93,72,75,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/24/21,,,0,,,94,69,74,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/23/21,,,0,,,90,69,72,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/22/21,,,0,,,95,69,77,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/21/21,,,0,,,91,62,69,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/20/21,,,0,,,88,61,70,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/19/21,,,0,,,93,63,66,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/18/21,,,0,,,90,56,67,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/17/21,,,0,,,80,51,61,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/16/21,,,0.24,,,74,51,59,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/15/21,,,0.1,,,81,60,62,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/14/21,,,0,,,90,64,64,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/13/21,,,0,,,83,61,73,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/12/21,,,0,,,78,56,61,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/11/21,,,0,,,71,57,59,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/10/21,,,0,,,74,55,59,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/9/21,,,0,,,72,53,66,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/8/21,,,0,,,72,53,56,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/7/21,,,0,,,68,51,54,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/6/21,,,0,,,69,52,55,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/5/21,,,0,,,84,61,63,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/4/21,,,0,,,91,66,69,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/3/21,,,0,,,94,69,79,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/2/21,,,0,,,89,62,70,,,,,,,,
USC00350265,"ARLINGTON, OR US",6/1/21,,,0,,,94,57,65,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/31/21,,,0,,,85,54,57,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/30/21,,,0,,,80,45,59,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/29/21,,,0,,,72,43,45,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/28/21,,,0,,,71,52,56,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/27/21,,,0,,,78,55,64,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/26/21,,,0,,,74,52,55,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/25/21,,,0,,,71,55,59,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/24/21,,,0,,,68,50,58,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/23/21,,,0.02,,,63,48,50,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/22/21,,,0,,,73,55,59,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/21/21,,,0.17,,,64,52,56,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/20/21,,,0,,,66,47,53,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/19/21,,,0,,,67,46,50,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/18/21,,,0,,,79,53,55,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/17/21,,,0,,,85,62,67,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/16/21,,,0,,,88,54,62,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/15/21,,,0,,,87,53,60,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/14/21,,,0,,,80,55,58,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/13/21,,,0,,,84,50,57,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/12/21,,,0,,,80,49,52,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/11/21,,,0,,,76,45,57,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/10/21,,,0,,,72,47,54,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/9/21,,,0,,,63,46,54,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/8/21,,,0,,,61,45,49,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/7/21,,,0,,,76,48,53,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/6/21,,,0,,,81,49,58,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/5/21,,,0,,,71,41,50,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/4/21,,,0.06,,,70,51,58,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/3/21,,,0,,,70,48,53,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/2/21,,,0,,,67,48,49,,,,,,,,
USC00350265,"ARLINGTON, OR US",5/1/21,,,0.05,,,76,57,58,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/30/21,,,0,,,84,54,60,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/29/21,,,0,,,76,54,56,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/28/21,,,0,,,69,45,60,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/27/21,,,0,,,66,40,45,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/26/21,,,0,,,66,43,52,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/25/21,,,0.02,,,62,42,43,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/24/21,,,0.02,,,66,49,49,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/23/21,,,0,,,67,46,51,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/22/21,,,0,,,76,46,58,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/21/21,,,0,,,70,35,46,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/20/21,,,0,,,67,33,45,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/19/21,,,0,,,80,49,53,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/18/21,,,0,,,79,38,50,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/17/21,,,0,,,76,38,39,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/16/21,,,0,,,74,37,44,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/15/21,,,0,,,69,39,52,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/14/21,,,0,,,62,47,48,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/13/21,,,0,,,63,35,47,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/12/21,,,0,,,57,25,35,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/11/21,,,0,,,53,27,27,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/10/21,,,0,,,62,32,46,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/9/21,,,0,,,56,30,32,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/8/21,,,0,,,59,44,46,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/7/21,,,0,,,69,44,50,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/6/21,,,0,,,61,38,46,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/5/21,,,0,,,61,40,41,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/4/21,,,0,,,64,46,52,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/3/21,,,0,,,64,43,48,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/2/21,,,0,,,68,41,50,,,,,,,,
USC00350265,"ARLINGTON, OR US",4/1/21,,,0,,,65,31,41,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/31/21,,,0,,,58,27,31,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/30/21,,,0,,,53,30,32,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/29/21,,,0,,,64,39,40,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/28/21,,,0,,,64,40,49,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/27/21,,,0,,,59,36,40,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/26/21,,,0,,,57,39,45,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/25/21,,,0,,,51,45,47,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/24/21,,,0,,,58,38,48,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/23/21,,,0,,,56,35,38,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/22/21,,,0,,,51,42,42,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/21/21,,,0,,,56,38,44,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/20/21,,,0,,,63,35,38,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/19/21,,,0.01,,,61,37,41,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/18/21,,,0,,,61,29,43,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/17/21,,,0,,,55,29,29,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/16/21,,,0,,,47,40,40,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/15/21,,,0,,,52,32,40,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/14/21,,,0,,,58,29,32,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/13/21,,,0,,,61,28,29,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/12/21,,,0,,,58,29,39,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/11/21,,,0,,,55,30,38,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/10/21,,,0,,,55,28,35,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/9/21,,,0,,,48,29,33,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/8/21,,,0,,,53,31,32,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/7/21,,,0,,,54,32,37,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/6/21,,,0,,,55,41,45,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/5/21,,,0,,,57,33,41,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/4/21,,,0,,,62,31,38,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/3/21,,,0,,,60,31,31,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/2/21,,,0,,,57,34,42,,,,,,,,
USC00350265,"ARLINGTON, OR US",3/1/21,,,0,,,56,31,34,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/28/21,,,0,,,49,38,44,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/27/21,,,0,,,48,36,38,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/26/21,,,0.07,,,52,40,44,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/25/21,,,0,,,51,30,44,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/24/21,,,0,,,49,31,37,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/23/21,,,0.03,,,57,41,42,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/22/21,,,0,,,52,41,47,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/21/21,,,0,,,49,37,42,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/20/21,,,0,,,44,30,37,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/19/21,,,0.24,0.5,1,34,29,32,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/18/21,,,0,,0,48,25,29,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/17/21,,,0,,1,46,36,38,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/16/21,,,0.01,,4,36,23,36,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/15/21,,,0.08,2,5,26,21,23,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/14/21,,,0.02,0,4,26,20,21,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/13/21,,,0.34,3.5,4,22,18,21,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/12/21,,,0.14,1.2,1,28,18,18,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/11/21,,,0,0,0,40,26,26,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/10/21,,,0,,,41,18,27,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/9/21,,,0,,,46,21,31,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/8/21,,,0,,,49,36,39,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/7/21,,,0,,,52,43,44,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/6/21,,,0,,,55,43,44,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/5/21,,,0,,,50,41,48,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/4/21,,,0,,,51,37,41,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/3/21,,,0,,,54,35,37,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/2/21,,,0,,,53,42,45,,,,,,,,
USC00350265,"ARLINGTON, OR US",2/1/21,,,0.02,,,51,39,43,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/31/21,,,0.01,,,47,35,40,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/30/21,,,0,,,46,34,35,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/29/21,,,0.03,,,44,36,40,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/28/21,,,0.01,,,47,34,36,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/27/21,,,0.05,,,41,32,34,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/26/21,,,0,,,38,32,32,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/25/21,,,0.03,0,0,34,28,33,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/24/21,,,0,,,35,22,28,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/23/21,,,0,,,40,22,22,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/22/21,,,0.04,,,40,35,35,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/21/21,,,0.09,,,41,29,36,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/20/21,,,0,,,43,28,29,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/19/21,,,0,,,46,25,29,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/18/21,,,0,,,55,29,30,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/17/21,,,0,,,43,31,43,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/16/21,,,0,,,48,29,31,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/15/21,,,0,,,51,32,37,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/14/21,,,0,,,51,35,37,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/13/21,,,0.25,,,64,40,45,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/12/21,,,0.13,,,42,39,40,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/11/21,,,0,,,45,35,39,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/10/21,,,0,,,41,33,40,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/9/21,,,0.12,,,43,33,33,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/8/21,,,0.04,,,45,35,39,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/7/21,,,0.09,,,46,36,36,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/6/21,,,0.02,,,46,37,42,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/5/21,,,0.03,,,49,34,37,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/4/21,,,0.03,,,53,41,43,,,,,,,,
USC00350265,"ARLINGTON, OR US",1/3/21,,,0.03,,,55,43,45,,,,,,,,
